password,score
dyLFHDTFLNYa,20
WSHcYcmtHmWD,20
enVQFeWswfTJ,20
MZCcRDCfTPhu,20
YVaRYrjKxmQA,20
XYhEgXHxELqR,20
BbQuTxpWKVgp,20
pQLUNaWqUKNg,20
MmDHeGTHfNmP,20
pdNBuZfgaNZM,20
hygydRTkWsxC,20
exTSYPxAyGVv,20
VcbywpvjNSVD,20
HLvxcZGhTDPm,20
XxsfHRJFpSHd,20
xEVfSYQEwGtS,20
kcdbEetcbbHe,20
reFHKLHqJfmz,20
uAZknNtvtgRN,20
ygFNFUBBxwKT,20
XUkGYWBYKaQS,20
rKBGvZWaktcz,20
zueDQGMnMetZ,20
zcmHEYxBCedf,20
frftHKskRTed,20
ASPFqrPLUrdC,20
ZkwfsRjKhxmF,20
XPEWLcPHdgWg,20
fGSKFUMdEWQY,20
jrvtQeUnvmmD,20
ZsExPcZYSEHQ,20
PFFScFxkgbUq,20
FKrDAvNKxkdU,20
XKxPjKWGVSKk,20
DbDuyzpWxtsT,20
FjnQeuCEVpjK,20
gAfuuvqdujUF,20
eFckCJCPsBAE,20
kCfZwEAXMuhF,20
bfCtxyFkZtfB,20
ZvxvzgffBQge,20
ZKVPxaEUxnuu,20
nsfYdhZFGKKy,20
wgWFWMgmwZWm,20
cjaefLYqzUCm,20
EvdpteBQyQeQ,20
uXJqEyaErQUw,20
XYYKCzhZkUDG,20
sMDTvEafQJVX,20
txKgKncPNNUb,20
cLQbHzLtcSkr,20
hqeLFRywQDUn,18
WymZdJJgVjzc,20
WhUpwZDySrVw,20
suZKPjGDuEEX,20
MJTJvqNpnnRn,20
tBcuRwqSqkkS,20
BkPwxdSqnyTu,20
CpRePajUVUQK,19
ZbqjWnjWemwg,20
xZUeqSfzCzdv,20
DjzcbykRzUgf,20
zuxSwCfFTyeD,20
cwVhQJUGsJWc,20
mKSrUHPfmFAN,20
LZASCQPUbkqc,20
JpuQYNLGpPQf,20
YFUmcqPGAKgG,20
rbNWueYUNTrS,20
WnRnwpKDcaKW,20
cxVfQMUyjbxS,20
nbsCgmdbLdQC,20
xyymFndSSTae,20
WfgxvkwBqRfd,20
DMZewDybkEqY,20
rxRAzbbHBsgk,20
FGVDuGEhjRrx,20
zqtXqEFkkFMK,20
MBRxjBkdAcev,20
HUFKVPqZRWwX,20
CBxmvYfbbYHx,20
fNNAwxXBXjvF,20
zTqkLzYYBSNR,20
MPBxDkEtLfym,20
mKCJMUCgFuFx,20
KkuwrYwxBWCf,20
QsFxNdQSTnBN,20
FpsJFDXScDTZ,20
vhEgSaJMYLjE,20
dyWZgeHsdtma,20
kgKuhtETguPv,20
LLGCBErXfVNb,20
wnbQxTSwkLBx,20
KYnNHDgrRrpm,20
MUpwTYyNAYDe,20
KkqvWczjcyJb,20
wWDXYKJuttPH,20
nJByXqVxevRC,20
eJypTWnHbSrc,20
QwjbGfVTkGFK,20
average score,19.97
