password,score
MpMeXPjd,19
cWKFxJpf,19
XlUNfWvk,19
TBYwqtDk,19
mhWBWWft,19
NAvsQoXz,19
uVuKBypI,19
WqlUVGaj,19
wBiaqASP,19
rukcIGNF,19
xYpHcDjI,19
StzPqfTH,19
aGmDBtfS,19
LpgTtsBI,19
mDcZhuDS,19
riNwXEiJ,19
mhSCSDsk,19
ZcpbjRBV,19
guXQYLzz,19
aWvmBDmH,19
tQYbiSRk,19
FWwhiArC,19
QIsAhcsX,19
akHlBTqC,19
YYpguZXm,19
nxgKBsNB,19
DVRzQawQ,12
DsnwIwSE,19
RwOPyVgs,19
zDTKfgtG,19
eHFgJfbZ,19
GFeuSgFd,19
wrSLJekO,19
ZAtbyyKF,19
oTrUnKLl,17
dVMokSyH,19
xaHNiZdB,19
WJdSwfsT,19
DGSwvApg,19
PmVVKdpl,19
RFmwOkMm,19
kNrvDXbO,19
PEKjjfsT,19
sGxnNdKK,19
ldxKQCyW,19
dWjuOUnQ,19
IlTjLdbF,19
VtKlTYsm,19
OIrhrEaU,19
CIVvYnwo,19
ywhZILXd,19
rpAnHMuC,19
suZVulFV,19
VYcsJvVd,19
MEpWbPcx,19
xkcOKJFa,19
QRFckyfD,19
pNEAnmwW,19
FlpCyoQM,19
oznbQWea,11
QYkEsovT,19
NSEcAuwo,19
pQWJQain,19
CIefQFio,19
LvkIFrgW,19
KEbYhSmc,19
HrRsHJab,19
fYtlJRvX,19
dXBoUloL,19
AUeNpTou,19
tWswVtCB,19
JcqyUUfJ,19
jegUjRZL,19
pPHvqNIo,19
BUOjSyxi,19
uZRnoIeS,19
CGicqFVw,19
CBljnPUh,19
pyDgwSYC,19
KgInnzNY,19
kAhJvrKD,19
FgXOFnid,19
UVLuaWjs,19
eFULhguD,19
AtMmAntP,17
QXMffvDp,19
kxoWtAFQ,19
oPjhYsNL,19
CiyZwGjW,19
UMoRzjOk,19
obJOCTko,19
JrFnJDla,19
YOdDrMcz,19
jHpAkSrP,19
JHGJpwzi,19
cjTIOmQp,19
nlWkOOoO,19
HCmyovDE,19
umXQsVaR,19
NPkXjgVz,19
average score,18.81
