password,score
HHvllkRTpwmh,20
ksRVzeaGYvCV,20
iYAtRBQykTSm,20
jdcfELxDefwS,20
TXrTsFhbDkCc,20
LbSzrUkbkyrr,20
UaWLwRgTJOgR,20
mTeHfRlmIUis,20
SexYvvMOISSQ,19
uzeStoOxAAIZ,19
SFlOzNdwHGXh,20
IGOqIDGBxoIq,20
ojylDENeqlAh,20
duzoQCUXgQyF,20
eVeKcogEgjhw,20
eFAiyXypBZHa,20
LVuOpsKDeQdk,20
jDqupOaaSHKy,20
GAtoqGisTIXl,19
fNCjqPsXOEID,20
FmOundlnTkcb,20
LjCPTYdsXPYr,20
WuqOpVmNDciM,20
DSVGbroToLgB,18
AeEvQuFppCcv,20
FYHotYkaBMlo,20
OMdWWmpDRpbC,20
DIHyMdkxiHsD,20
MyJxFFJNYrYG,20
dpLjSMXmRRxx,20
wyjDOQcAaWeO,20
uupqiHnBsnkG,20
LdJlCkpKdsCb,20
fDdnMPHhCNHL,20
szCfDazRmELK,20
beASBdztodMu,20
iKwqgzLYkhvi,20
nZrWSJLwDJna,20
XQSFJBLeNQsS,20
MiOgXdpbiVWa,20
yVyzHKVFnoyh,20
hnsHBfqKpskz,20
IlLbtMARtaee,15
tMWWzvmeiwOj,20
IyurDKjbOwnH,18
mYaaetjVFKMo,20
OdZXxycesiPi,20
OvTuwzwicEuz,20
wPWpNfaiIvZC,20
jwQzcJztDmxE,20
hvmBsuQOICNi,20
usdvoRYHCGCk,20
iSuaXvRkoNlS,20
JVjsgSzuINaI,20
vkvcfYqFMoaG,20
MHnqTrUpPItw,20
LlKHZSdfKOIb,20
wPQOjvsZMwcA,20
DkYfqnKlkFoQ,20
ubDupZjLpjUX,20
RQGDYUrTqxQh,20
ToDHIDfXSBQY,20
nQFsqlTUoOXA,20
TaWnAWtJkmPb,18
TMutYtVSULZw,20
tPXuyKSenBDe,20
ecENrncTTusk,20
duyucMuEiIxC,20
FUSfAIFfstdw,20
tNQfufSroGpg,20
HTuahSfkMiaL,20
XENYQiXAJqFw,20
grHvFEniNlTq,20
LjUyeMsdwDwi,20
kwWSbYbexUeX,20
WHZXOAWQArnh,20
mVvDDjdPORxA,20
ZAtowoBcDSKs,20
VrdrUEACgFCB,20
fArKAQQSQvBJ,19
UkDFiCUnQGuf,20
IYPzjodlXOHK,20
QtwZOqXXlghD,20
fmReHnGyLaeQ,20
tcDkVvfokiho,20
aBMEBQJbQomW,20
SRLswgwJdDXw,20
WijEvcHFfhUE,20
syNHxhsnVSqb,20
mhOFVAbVJuIz,20
lGAZBrtCPpyV,20
dWXvzXkfORyN,19
lGwvIhHXTEWS,20
lBlsikUxbTgI,20
LotXOkpIGWoJ,19
beaAYeWjcUHN,20
DLguMgDgMVhN,20
RMCpvHZpXxqu,20
xCsjmVFUfBQM,20
cABbsVdSNiWB,20
average score,19.83
